Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,"[5,5.5)","[3.5,4)",1.4,"[0.1,0.5)",Iris-setosa
2,"[4.3,5)",3.0,"[1,1.5)","[0.1,0.5)",Iris-setosa
3,"[4.3,5)",3.2,"[1,2)",0.2,Iris-setosa
4,"[4.3,5)",3.1,"[1.5,2)","[0.1,0.5)",Iris-setosa
5,"[5,5.5)","[3.5,4)",1.4,"[0.1,0.5)",Iris-setosa
6,5.4,"[3.5,4)","[1,2)","[0.1,0.5)",Iris-setosa
7,"[4.3,5)","[3,3.5)",1.4,"[0.1,0.5)",Iris-setosa
8,"[5,5.5)",3.4,"[1.5,2)","[0.1,0.5)",Iris-setosa
9,"[4.3,5)",Any,"[1,1.5)","[0.1,0.5)",Iris-setosa
10,"[4.3,5)",3.1,"[1.5,2)","[0.1,0.5)",Iris-setosa
11,5.4,"[3.5,4)","[1,2)","[0.1,0.5)",Iris-setosa
12,"[4.3,5)","[3,3.5)","[1.5,2)","[0.1,0.5)",Iris-setosa
13,"[4.3,5)",3.0,"[1,1.5)","[0.1,0.5)",Iris-setosa
14,Any,"[3,3.5)","[1,2)","[0.1,0.5)",Iris-setosa
15,"[5.5,6]","[4,4.4]","[1,2)","[0.1,0.5)",Iris-setosa
16,"[5.5,6]","[4,4.4]","[1,2)","[0.1,0.5)",Iris-setosa
17,5.4,"[3.5,4)","[1,2)","[0.1,0.5)",Iris-setosa
18,"[5,5.5)","[3.5,4)",1.4,"[0.1,0.5)",Iris-setosa
19,"[5,6]",3.8,"[1.5,2)","[0.1,0.5)",Iris-setosa
20,"[5,6]",3.8,"[1.5,2)","[0.1,0.5)",Iris-setosa
21,"[5,5.5)",3.4,"[1,2)","[0.1,0.5)",Iris-setosa
22,"[5,5.5)","[3.5,4)","[1.5,2)","[0.1,0.5)",Iris-setosa
23,"[4.3,5)",Any,"[1,1.5)","[0.1,0.5)",Iris-setosa
24,"[5,5.5)","[3,4)","[1,2)","[0.1,1)",Iris-setosa
25,"[4.3,5)","[3,3.5)","[1.5,2)","[0.1,0.5)",Iris-setosa
26,Any,"[3,3.5)","[1,2)","[0.1,0.5)",Iris-setosa
27,"[5,5.5)",3.4,"[1.5,2)","[0.1,0.5)",Iris-setosa
28,"[5,6]",3.5,"[1,2)","[0.1,0.5)",Iris-setosa
29,"[5,5.5)",3.4,"[1,2)","[0.1,0.5)",Iris-setosa
30,"[4.3,5)",3.2,"[1,2)",0.2,Iris-setosa
31,"[4.3,5)",3.1,"[1.5,2)","[0.1,0.5)",Iris-setosa
32,"[5,5.5)",3.4,"[1,2)","[0.1,0.5)",Iris-setosa
33,"[5,5.5)","[3,4.4]",Any,Any,Iris-setosa
34,"[5.5,6]","[4,4.4]","[1,2)","[0.1,0.5)",Iris-setosa
35,"[4.3,5)","[3,3.5)","[1.5,2)","[0.1,0.5)",Iris-setosa
36,"[5,5.5)","[3,4.4]",Any,Any,Iris-setosa
37,"[5,6]",3.5,"[1,2)","[0.1,0.5)",Iris-setosa
38,Any,"[3,3.5)","[1,2)","[0.1,0.5)",Iris-setosa
39,"[4.3,5)",3.0,"[1,1.5)","[0.1,0.5)",Iris-setosa
40,"[5,5.5)",3.4,"[1.5,2)","[0.1,0.5)",Iris-setosa
41,"[5,6]",3.5,"[1,2)","[0.1,0.5)",Iris-setosa
42,"[4.3,5)",Any,"[1,1.5)","[0.1,0.5)",Iris-setosa
43,"[4.3,5)",3.2,"[1,2)",0.2,Iris-setosa
44,"[5,5.5)","[3,4)","[1,2)","[0.1,1)",Iris-setosa
45,"[5,6]",3.8,"[1.5,2)","[0.1,0.5)",Iris-setosa
46,"[4.3,5)","[3,3.5)",1.4,"[0.1,0.5)",Iris-setosa
47,"[5,5.5)","[3.5,4)","[1.5,2)","[0.1,0.5)",Iris-setosa
48,"[4.3,5)","[3,3.5)",1.4,"[0.1,0.5)",Iris-setosa
49,"[5,5.5)","[3.5,4)","[1.5,2)","[0.1,0.5)",Iris-setosa
50,"[5,5.5)","[3,4)","[1,2)","[0.1,1)",Iris-setosa
51,Any,"[3,3.5)","[4,5)",1.4,Iris-versicolor
52,"[6,7]","[3,3.5)","[4.5,5)","[1.5,2)",Iris-versicolor
53,"[6,7]","[3,3.5)","[4.5,5)","[1.5,2)",Iris-versicolor
54,"[5.5,6]","[2,3)","[4,4.5)",1.3,Iris-versicolor
