Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,Any,"[3,4)",Any,Any,Iris-setosa
2,Any,"[3,4)",Any,Any,Iris-setosa
3,Any,"[3,4)",Any,Any,Iris-setosa
4,Any,"[3,4)",Any,Any,Iris-setosa
5,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
6,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
7,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
8,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
9,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
10,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
11,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
12,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
13,Any,Any,Any,"[0.1,0.5)",Iris-setosa
14,Any,Any,Any,"[0.1,0.5)",Iris-setosa
15,Any,Any,Any,"[0.1,0.5)",Iris-setosa
16,Any,Any,Any,"[0.1,0.5)",Iris-setosa
17,"[5,6]",Any,"[1,3)","[0.1,0.5)",Iris-setosa
18,"[5,6]",Any,"[1,3)","[0.1,0.5)",Iris-setosa
19,"[5,6]",Any,"[1,3)","[0.1,0.5)",Iris-setosa
20,"[5,6]",Any,"[1,3)","[0.1,0.5)",Iris-setosa
21,Any,"[3,4)",Any,Any,Iris-setosa
22,Any,"[3,4)",Any,Any,Iris-setosa
23,Any,"[3,4)",Any,Any,Iris-setosa
24,Any,"[3,4)",Any,Any,Iris-setosa
25,Any,Any,Any,Any,Iris-setosa
26,Any,Any,Any,Any,Iris-setosa
27,Any,Any,Any,Any,Iris-setosa
28,Any,Any,Any,Any,Iris-setosa
29,Any,Any,"[1,3)",Any,Iris-setosa
30,Any,Any,"[1,3)",Any,Iris-setosa
31,Any,Any,"[1,3)",Any,Iris-setosa
32,Any,Any,"[1,3)",Any,Iris-setosa
33,Any,Any,Any,"[0.1,0.5)",Iris-setosa
34,Any,Any,Any,"[0.1,0.5)",Iris-setosa
35,Any,Any,Any,"[0.1,0.5)",Iris-setosa
36,Any,Any,Any,"[0.1,0.5)",Iris-setosa
37,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
38,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
39,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
40,Any,Any,"[1,2)","[0.1,0.5)",Iris-setosa
41,Any,Any,"[1,2)",Any,Iris-setosa
42,Any,Any,"[1,2)",Any,Iris-setosa
43,Any,Any,"[1,2)",Any,Iris-setosa
44,Any,Any,"[1,2)",Any,Iris-setosa
45,Any,"[3,4)","[1,2)","[0.1,1)",Iris-setosa
46,Any,"[3,4)","[1,2)","[0.1,1)",Iris-setosa
47,Any,"[3,4)","[1,2)","[0.1,1)",Iris-setosa
48,Any,"[3,4)","[1,2)","[0.1,1)",Iris-setosa
49,Any,Any,Any,Any,Iris-setosa
50,Any,Any,Any,Any,Iris-setosa
51,Any,Any,Any,Any,Iris-versicolor
52,Any,Any,Any,Any,Iris-versicolor
53,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
54,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
55,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
56,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
57,Any,Any,Any,"[1,2.5]",Iris-versicolor
58,Any,Any,Any,"[1,2.5]",Iris-versicolor
59,Any,Any,Any,"[1,2.5]",Iris-versicolor
60,Any,Any,Any,"[1,2.5]",Iris-versicolor
61,Any,Any,"[3,6.9)",Any,Iris-versicolor
62,Any,Any,"[3,6.9)",Any,Iris-versicolor
63,Any,Any,"[3,6.9)",Any,Iris-versicolor
64,Any,Any,"[3,6.9)",Any,Iris-versicolor
65,Any,Any,Any,Any,Iris-versicolor
66,Any,Any,Any,Any,Iris-versicolor
67,Any,Any,Any,Any,Iris-versicolor
68,Any,Any,Any,Any,Iris-versicolor
69,Any,Any,Any,"[1,2.5]",Iris-versicolor
70,Any,Any,Any,"[1,2.5]",Iris-versicolor
71,Any,Any,Any,"[1,2.5]",Iris-versicolor
72,Any,Any,Any,"[1,2.5]",Iris-versicolor
73,"[6,7]",Any,Any,"[1,2.5]",Iris-versicolor
74,"[6,7]",Any,Any,"[1,2.5]",Iris-versicolor
75,"[6,7]",Any,Any,"[1,2.5]",Iris-versicolor
76,"[6,7]",Any,Any,"[1,2.5]",Iris-versicolor
77,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
78,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
79,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
80,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
81,Any,"[2.4,3)","[3,6.9)","[1,2.5]",Iris-versicolor
82,Any,"[2.4,3)","[3,6.9)","[1,2.5]",Iris-versicolor
83,Any,"[2.4,3)","[3,6.9)","[1,2.5]",Iris-versicolor
84,Any,"[2.4,3)","[3,6.9)","[1,2.5]",Iris-versicolor
85,Any,Any,"[4,5)",Any,Iris-versicolor
86,Any,Any,"[4,5)",Any,Iris-versicolor
87,Any,Any,"[4,5)",Any,Iris-versicolor
88,Any,Any,"[4,5)",Any,Iris-versicolor
89,Any,Any,Any,Any,Iris-versicolor
90,Any,Any,Any,Any,Iris-versicolor
91,Any,Any,Any,Any,Iris-versicolor
92,Any,Any,Any,Any,Iris-versicolor
93,Any,Any,Any,"[1,1.5)",Iris-versicolor
94,Any,Any,Any,"[1,1.5)",Iris-versicolor
95,Any,Any,Any,"[1,1.5)",Iris-versicolor
96,Any,Any,Any,"[1,1.5)",Iris-versicolor
97,Any,Any,"[3,6.9)",Any,Iris-versicolor
98,Any,Any,"[3,6.9)",Any,Iris-versicolor
99,Any,Any,"[3,6.9)",Any,Iris-versicolor
100,Any,Any,"[3,6.9)",Any,Iris-versicolor
101,Any,Any,Any,"[1,2.5]",Iris-virginica
102,Any,Any,Any,"[1,2.5]",Iris-virginica
