Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,Any,Any,Any,Any,Iris-setosa
2,Any,Any,Any,Any,Iris-setosa
3,Any,Any,Any,Any,Iris-setosa
4,Any,Any,Any,Any,Iris-setosa
5,Any,Any,Any,Any,Iris-setosa
6,Any,Any,Any,Any,Iris-setosa
7,Any,Any,Any,Any,Iris-setosa
8,Any,Any,Any,Any,Iris-setosa
9,Any,Any,Any,Any,Iris-setosa
10,Any,Any,Any,Any,Iris-setosa
11,Any,Any,Any,Any,Iris-setosa
12,Any,Any,Any,Any,Iris-setosa
13,Any,Any,Any,Any,Iris-setosa
14,Any,Any,Any,Any,Iris-setosa
15,Any,Any,Any,Any,Iris-setosa
16,Any,Any,Any,Any,Iris-setosa
17,Any,Any,Any,Any,Iris-setosa
18,Any,Any,Any,Any,Iris-setosa
19,Any,Any,Any,Any,Iris-setosa
20,Any,Any,Any,Any,Iris-setosa
21,Any,Any,Any,Any,Iris-setosa
22,Any,Any,Any,Any,Iris-setosa
23,Any,Any,Any,Any,Iris-setosa
24,Any,Any,Any,Any,Iris-setosa
25,Any,Any,Any,Any,Iris-setosa
26,Any,Any,Any,Any,Iris-setosa
27,Any,Any,Any,Any,Iris-setosa
28,Any,Any,Any,Any,Iris-setosa
29,Any,Any,Any,Any,Iris-setosa
30,Any,Any,Any,Any,Iris-setosa
31,Any,Any,Any,Any,Iris-setosa
32,Any,Any,Any,Any,Iris-setosa
33,Any,Any,Any,Any,Iris-setosa
34,Any,Any,Any,Any,Iris-setosa
35,Any,Any,Any,Any,Iris-setosa
36,Any,Any,Any,Any,Iris-setosa
37,Any,Any,Any,Any,Iris-setosa
38,Any,Any,Any,Any,Iris-setosa
39,Any,Any,Any,Any,Iris-setosa
40,Any,Any,Any,Any,Iris-setosa
41,Any,Any,Any,Any,Iris-setosa
42,Any,Any,Any,Any,Iris-setosa
43,Any,Any,Any,Any,Iris-setosa
44,Any,Any,Any,Any,Iris-setosa
45,Any,Any,Any,Any,Iris-setosa
46,Any,Any,Any,Any,Iris-setosa
47,Any,Any,Any,Any,Iris-setosa
48,Any,Any,Any,Any,Iris-setosa
49,Any,Any,Any,Any,Iris-setosa
50,Any,Any,Any,Any,Iris-setosa
51,Any,Any,"[3,6.9)",Any,Iris-versicolor
52,Any,Any,Any,Any,Iris-versicolor
53,Any,Any,Any,Any,Iris-versicolor
54,Any,Any,Any,Any,Iris-versicolor
55,Any,Any,Any,Any,Iris-versicolor
56,Any,Any,Any,Any,Iris-versicolor
57,Any,Any,"[3,6.9)",Any,Iris-versicolor
58,Any,Any,Any,Any,Iris-versicolor
59,Any,Any,Any,Any,Iris-versicolor
60,Any,Any,Any,Any,Iris-versicolor
61,Any,Any,Any,Any,Iris-versicolor
62,Any,Any,Any,Any,Iris-versicolor
63,Any,Any,Any,Any,Iris-versicolor
64,Any,Any,Any,Any,Iris-versicolor
65,Any,Any,Any,Any,Iris-versicolor
66,Any,Any,Any,Any,Iris-versicolor
67,Any,Any,Any,Any,Iris-versicolor
68,Any,Any,Any,Any,Iris-versicolor
69,Any,Any,Any,Any,Iris-versicolor
70,Any,Any,"[3,6.9)",Any,Iris-versicolor
71,Any,Any,Any,Any,Iris-versicolor
72,Any,Any,Any,Any,Iris-versicolor
73,Any,Any,Any,Any,Iris-versicolor
74,Any,Any,Any,Any,Iris-versicolor
75,Any,Any,Any,Any,Iris-versicolor
76,Any,Any,Any,Any,Iris-versicolor
77,Any,Any,Any,Any,Iris-versicolor
78,Any,Any,Any,Any,Iris-versicolor
79,Any,Any,Any,Any,Iris-versicolor
80,Any,Any,Any,Any,Iris-versicolor
81,Any,Any,"[3,6.9)",Any,Iris-versicolor
82,Any,Any,Any,Any,Iris-versicolor
83,Any,Any,Any,Any,Iris-versicolor
84,Any,Any,Any,Any,Iris-versicolor
85,Any,Any,Any,Any,Iris-versicolor
86,Any,Any,Any,Any,Iris-versicolor
87,Any,Any,Any,Any,Iris-versicolor
88,Any,Any,Any,Any,Iris-versicolor
89,Any,Any,Any,Any,Iris-versicolor
90,Any,Any,Any,Any,Iris-versicolor
91,Any,Any,Any,Any,Iris-versicolor
92,Any,Any,Any,Any,Iris-versicolor
93,Any,Any,Any,Any,Iris-versicolor
94,Any,Any,Any,Any,Iris-versicolor
95,Any,Any,Any,Any,Iris-versicolor
96,Any,Any,Any,Any,Iris-versicolor
97,Any,Any,Any,Any,Iris-versicolor
98,Any,Any,Any,Any,Iris-versicolor
99,Any,Any,Any,Any,Iris-versicolor
